"Name","Publisher","Film Simulation","BW Color WC","BW Color MC","Grain Effect","CCR Effect","CCR FX Blue","White Balance","Kelvin","White Balance R","White Balance B","Dynamic Range","Dynamic Range Priority","Highlights","Shadows","Sharpness","Color","High ISO NR","Clarity","ISO min","ISO max","X-Trans"
"1970’s Summer","Fuji X Weekly","Nostalgic Neg.","","","Strong/Large","Strong","Strong","Kelvin","6500","-1","-4","DR400","Off","-2","-1","-2","-2","-4","-3","","6400","V"
"1976 Kodak","Fuji X Weekly","Nostalgic Neg.","","","Strong/Small","Strong","Off","Auto","","-2","-4","DR200","Off","+1.5","+3","-2","","-4","-3","","6400","V"
"Appalachian Negative","Fuji X Weekly","Nostalgic Neg.","","","Weak/Large","Strong","Weak","Kelvin","5200","2","-2","DR400","Off","-1.5","0","+2","","-4","0","","6400","V"
"California Summer","Fuji X Weekly","Nostalgic Neg.","","","Weak/Small","Strong","Weak","Kelvin","6700","-1","-6","DR400","Off","-2","-1","-2","","-4","-4","","6400","V"
"CineStill 400D v1","Fuji X Weekly","Astia","","","Strong/Small","Strong","Strong","Fluorescent 1","","-6","-3","DR200","Off","+3","+1","-2","+2","-4","-4","","6400","V"
"CineStill 400D v2","Fuji X Weekly","Astia","","","Strong/Small","Strong","Weak","Fluorescent 1","","-2","4","DR200","Off","-2","0","-2","+2","-4","-4","","6400","V"
"Classic Color","Fuji X Weekly","Classic Chrome ","","","Strong/Small","Strong","Weak","Kelvin","5300","0","-6","DR400","Off","-0.5","-2","-2","+3","-4","-2","","6400","V"
"Easy Reala Ace","Fuji X Weekly","Reala Ace","","","Weak/Small","Strong","Weak","Auto","","","","DR400","Off","-1","0","0","0","-4","0","","6400","V"
"Emulsion ’86","Fuji X Weekly","Nostalgic Neg.","","","Strong/Small","Strong","Off","White Priority","","2","-1","DR400","Off","-2","+2","-2","","-4","-3","","6400","V"
"Expired ECN-2 100T","Fuji X Weekly","Eterna Bleach Bypass","","","Strong/Large","Strong","Weak","Kelvin","6000","-9","-6","DR400","Off","+0.5","-1","-3","+1","-4","-4","","6400","V"
"Fujicolor Industrial 100","Fuji X Weekly","Reala Ace","","","Weak/Small","Weak","Off","Kelvin","3100","8","-8","DR400","Off","+0.5","+1.5","-1","-1","-4","-2","","6400","V"
"Fujicolor Natura 1600","Fuji X Weekly","Classic Neg.","","","Strong/Large","Strong","Weak","Kelvin","5500","-1","-2","DR400","Off","-1.5","+1.5","-2","-2","-4","-4","","6400","V"
"Fujicolor Reala 100","Fuji X Weekly","Classic Neg.","","","Weak/Small","Strong","Weak","Daylight","","-1","1","DR400","Off","0","0","-2","0","-4","-3","","6400","V"
"Fujicolor Super HG","Fuji X Weekly","Classic Neg.","","","Weak/Large","Weak","Weak","White Priority","","-3","-1","DR400","Off","-1","+1","0","+2","-4","+2","","6400","V"
"Fujicolor Superia 100 ","Fuji X Weekly","Classic Neg.","","","Weak/Small","Strong","Off","Daylight","","0","-1","Auto","Off","-1","-2","-2","+1","-4","-2","","6400","V"
"Fujicolor Superia 1600","Fuji X Weekly","Classic Neg.","","","Strong/Large","Strong","Weak","Daylight","","3","1","DR400","Off","0","+2","-1","-3","","-4","1600","6400","V"
"Ilford HP5 Plus 400","Fuji X Weekly","Monochrome","","","Strong/Large","Off","Off","Daylight","","1","-8","DR400","Off","-1","+1","-2","","-4","0","","6400","IV"
"Kodachrome 64","Fuji X Weekly","Classic Chrome ","","","Weak/Small","Strong","Off","Daylight","","2","-5","DR200","Off","0","+0.5","+1","+2","-4","+3","","6400","V"
"Kodak Ektachrome E100VS v2","Fuji X Weekly","Velvia","","","Strong/Small","Strong","Strong","Auto","","2","-2","DR400","Off","+1","+1","+1","+2","-2","+1","","6400","V"
"Kodak Gold 200","Fuji X Weekly","Classic Chrome ","","","Strong/Small","Weak","Off","Daylight","","4","-5","DR400","Off","-1.5","+0.5","-2","+3","-4","-2","","6400","V"
"Kodak Negative","Fuji X Weekly","Nostalgic Neg.","","","Weak/Large","Off","Off","White Priority","","1","-4","DR400","Off","-0.5","+2.5","-1","","-4","-3","","6400","V"
"Kodak Portra 800 v3","Fuji X Weekly","Classic Chrome ","","","Strong/Large","Strong","Off","Kelvin","6600","-1","-3","DR400","Off","-2","-0.5","-2","+3","","-3","","6400","V"
"Kodak Royal Gold 400","Fuji X Weekly","Classic Neg.","","","Strong/Small","Strong","Weak","Shade","","3","5","DR400","Off","-1","+1","-1","+4","-4","-3","","6400","V"
"Kodak T-Max P3200","Fuji X Weekly","Acros","-1","-1","Strong/Large","Off","Off","Kelvin","5500","4","-7","DR400","Off","-1","+3","+2","","-4","+1","","12800","V"
"Kodak Vericolor Warm","Fuji X Weekly","Nostalgic Neg.","","","Weak/Small","Strong","Strong","Kelvin","3000","8","-9","DR100","Off","-2","-1","-2","+2","-4","-2","","6400","V"
"Kodak Vision3 250D v2","Fuji X Weekly","Nostalgic Neg.","","","Strong/Small","Strong","Off","Fluorescent 1","","-5","0","DR200","Off","+4","+3","-2","-1","-4","-2","","6400","V"
"Nostalgia Neg.","Fuji X Weekly","Nostalgic Neg.","","","Strong/Small","Strong","Weak","Daylight","","3","-3","DR400","Off","-1","+1","-1","","-4","-3","","6400","V"
"Nostalgic Americana","Fuji X Weekly","Nostalgic Neg.","","","Strong/Large","Strong","Off","Kelvin","5800","-2","-4","DR200","Off","-1","-1.5","-2","-2","-4","-3","","6400","V"
"Pacific Blues","Fuji X Weekly","Classic Neg.","","","Strong/Large","Strong","Weak","Kelvin","5800","1","-3","DR400","Off","-2","+3","-2","+4","-4","-3","","6400","V"
"Pushed CineStill 800T","Fuji X Weekly","Eterna Bleach Bypass","","","Strong/Large","Strong","Weak","Kelvin","7700","9","-5","DR400","Off","-0.5","+1.5","0","+3","-4","-3","","6400","V"
"Reala Ace","Fuji X Weekly","Classic Neg.","","","Weak/Small","Strong","Strong","White Priority","","-1","1","DR400","Off","-1","-2","0","+2","-4","+2","","6400","V"
"Reala Light","","Pro Neg. High","","","Weak/Small","Off","Off","Daylight","1","2","-6","DR400","Off","0","0","0","+4","-4","-2","","","V"
"Summer of 1960","Fuji X Weekly","Nostalgic Neg.","","","Strong/Small","Off","Strong","Kelvin","5250","-3","-5","DR400","Off","+4","+2","-3","+3","-4","-3","","6400","V"
"Thommy’s Ektachrome","Fuji X Weekly","Nostalgic Neg.","","","Weak/Small","Weak","Off","Kelvin","5000","-1","3","DR100","Off","+1.5","+1.5","-1","+1","-4","-2","","6400","V"
"Timeless Neg","Fuji X Weekly","Nostalgic Neg.","","","Weak/Small","Strong","Off","Auto","","2","-3","DR400","Off","+2","-2","0","-3","-4","-2","","6400","V"
"Vibrant Arizona","Fuji X Weekly","Classic Chrome ","","","Weak/Small","Off","Weak","Kelvin","4350","6","-8","","Strong","","","-2","+4","-4","-3","","6400","V"
"ZZZ KD","Fuji X Weekly","Acros","","","","","","White Priority","","","","","Off","0","0","0","0","-4","0","","","V"
"PRO Negative 160C","Fuji X Weekly","Reala Ace","","","Weak/Small","Strong","Off","White Priority","","1","-2","DR200","Off","-1","-1","-1","","-4","-2","","6400","V"
"Kodak Porta 400 v2","Fuji X Weekly","Classic Chrome ","","","Strong/Small","Strong","Off","Kelvin","5200","1","-6","DR400","Off","0","-2","-2","+2","","-2","","6400","V"
"Pushing Tri-X","Thomas B. Jones","Monochrome","","","Off","Off","Off","Auto","","0","0","DR200","Off","+3","+3","0","0","-4","-2","","12800","V"
"Kodak Ultramax 400","Fuji X Weekly","Classic Chrome ","","","Strong/Large","Weak","Off","Auto","","1","-5","Auto","Off","+1","+1","0","+4","-4","+3","","6400","V"
"Kodachrome 25","Fuji X Weekly","Classic Chrome ","","","Off","Strong","Weak","Daylight","","4","-2","DR400","Off","+0.5","-0.5","+3","+1","-4","+3","","1600","V"
"Superia Xtra 400","Fuji X Weekly","Classic Neg.","","","Strong/Small","Off","Weak","White Priority","","3","-5","DR400","Off","0","-1","-1","+4","-4","-2","","6400","V"
"Agfa Ultra 100 v2","Fuji X Weekly","Nostalgic Neg.","","","Weak/Large","Weak","Weak","Kelvin","5800","-3","-3","DR400","Off","+1.5","+1","-2","+3","-4","-2","","6400","V"
